FET,DAP,TF,Dropout
75.24,12.51,3,0
42.82,7.87,9,1
68.91,11.19,4,0
81.08,14.53,1,0
50.53,6.14,12,1
59.04,10.13,6,0
72.03,12.00,3,0
35.61,5.50,15,1
90.52,13.80,0,0
65.13,11.89,5,0
51.78,10.37,5,0
63.15,11.02,4,0
59.74,9.65,5,0
67.33,12.35,3,0
78.78,13.56,2,0
66.86,11.23,4,0
36.31,5.28,13,1
84.42,14.73,1,0
70.21,12.02,3,0
73.66,13.78,3,0
61.42,10.05,6,0
82.69,14.65,1,0
46.68,7.31,9,1
71.84,11.45,4,0
77.53,13.60,2,0
65.80,10.99,5,0
56.54,9.58,6,0
69.04,11.48,4,0
54.67,9.33,6,0
63.95,11.04,5,0
71.45,12.78,3,0
60.29,10.59,5,0
41.05,7.11,10,1
74.20,12.55,3,0
67.62,11.95,4,0
79.91,14.49,1,0
61.16,10.88,5,0
75.92,12.65,3,0
55.33,9.45,6,0
72.71,13.11,3,0
44.59,8.55,9,1
68.45,12.18,4,0
80.40,14.15,1,0
61.79,10.78,5,0
73.19,12.28,3,0
69.32,11.59,4,0
57.08,9.80,6,0
64.55,11.09,5,0
71.18,12.68,4,0
68.74,11.37,4,0
43.51,8.02,9,1
78.11,13.88,2,0
63.42,11.08,5,0
70.93,12.23,4,0
58.85,10.35,5,0
65.41,11.19,5,0
76.57,13.25,3,0
47.78,9.08,8,1
62.08,10.82,5,0
69.83,11.75,4,0
59.46,10.27,5,0
67.04,11.31,4,0
78.36,13.92,2,0
45.89,8.82,8,1
62.86,10.95,5,0
70.66,12.15,4,0
59.18,10.21,5,0
66.69,11.27,4,0
77.92,13.84,2,0
45.16,8.69,9,1
62.47,10.88,5,0
70.39,12.09,4,0
59.00,10.15,5,0
66.34,11.23,4,0
77.56,13.76,2,0
44.42,8.59,9,1
62.17,10.79,5,0
70.12,12.04,4,0
58.82,10.10,5,0
66.16,11.20,4,0
77.21,13.68,2,0
43.71,8.46,9,1
